title,author,type,audience,genre,faust_numbers,isbns,n_loans,top10k
Psykologi og eksistens,Viktor E. Frankl,Bog,"alment niveau,voksenmaterialer","psykiatri. klinisk psykologi,erindringer",20205601;05854776;01459872;112591869,99122266062205763;99122614800505763;99122428677205763;99122578752905763;99122905020805763;99122315150505763;99122208503505763,1821,6444
"Frihed, FIRE & familieliv",Emilie Ekelund Mørck,Bog,"alment niveau,voksenmaterialer",hjemmets økonomi,61592334,,1724,6445
Da julen kom til Mumidalen,"Alex Haridi,Cecilia Davidsson",Billedbog,børnematerialer,"eventyrlige fortællinger,eventyrvæsener",54996012,,1724,6446
Klaverstemmeren,Carin Gerhardsen,Bog,voksenmaterialer,krimi,51062949;51692888,,1766,6447
Hjælp dit ængstelige barn,Ronald M. Rapee,Bog,"alment niveau,voksenmaterialer",nervøst betingede adfærdsforstyrrelser og tilstande,29404607,,1723,6448
Oplev Grækenland,Korina Miller,Bog,"alment niveau,voksenmaterialer",grækenland,29961328,99122448081905763,1725,6449
Glad mave med Low FODMAP,Julianne Lyngstad,Bog,"alment niveau,voksenmaterialer",diætmadlavning,52005132,99122260390905763,1724,6450
Katla & Knøs. Bind 5,Peter Gotthardt,Bog,børnematerialer,eventyrlige fortællinger,28989083;29952051,,1859,6451
Analfabeten der kunne regne,Jonas Jonasson,Bog,voksenmaterialer,humor,50803406;51786041,,1733,6452
Syndebuk,Lee Child,Bog,voksenmaterialer,skønlitteratur,62515961;52023270;06792731;07331851;20867264;01361864;01361872,99122221594605763;99121958211605763;99122931688605763,1789,6453
Lysets perle,Karen Christine Angermayer,Bog,børnematerialer,eventyrlige fortællinger,29732116,99122598367105763,1724,6454
En særlig form for ondskab,James Lilliefors,Bog,voksenmaterialer,krimi,53604951,,1722,6455
Drageungen,Sara Ejersbo,Bog,børnematerialer,fantasy,54524552;28517270,,1913,6456
Arthur Peppers mageløse rejse,Phaedra Patrick,Bog,voksenmaterialer,skønlitteratur,39579766,99123863439605763,1723,6457
"Hver gang du trækker vejret, indånder du støvet fra vores knogler",Ditte Holm Bro,Bog,voksenmaterialer,skønlitteratur,135895393,,1721,6458
Det perfekte sted at dø,Inger Wolf,Bog,voksenmaterialer,krimi,51206088;52183014,,1891,6459
Citrongul og blåbærblå - min bog fuld af farver,,Billedbog,børnematerialer,pegebøger,53938930,,1721,6460
Sørgekåben,Mikkel Frey Damgaard,Bog,"alment niveau,voksenmaterialer","biografier af enkelte personer,erindringer",46931343;23747928;24742016,,1757,6461
Otto i trafikken,Rune Fleischer,Bog,børnematerialer,sjove bøger,46307437,,1721,6462
Skyggerummet,Jan-Erik Fjell (f. 1982),Bog,voksenmaterialer,"krimi,politiromaner",50532631;46270207,99122535238305763,1786,6463
Asta og den store rejse,Trine Bundsgaard,Bog,børnematerialer,skønlitteratur,53680151;48163866,,1964,6464
Byg din egen madpakke,"Liv Martine,Simone Thorup Eriksen",Bog,"alment niveau,voksenmaterialer",koldt bord. smørrebrød,47733723,,1721,6465
Mythos,Stephen Fry,Bog,"alment niveau,voksenmaterialer","græsk-romerske religioner,græske myter,myter,sagn",54872968;53694772,,1975,6466
Hvor er den lille dino?,Joachim Krause,Billedbog,børnematerialer,gå på opdagelse,27757219,99122629128105763,1722,6467
Vores bageeventyr,Ditte Julie Jensen,Bog,"folkeskoleniveau,alment niveau,børnematerialer,voksenmaterialer",bagning,48943772,,1721,6468
Bare numser på camping,Annika Leone,Billedbog,børnematerialer,sjove bøger,31803616,99124370039805763,1721,6469
Har du ædt dem?,Kirsten Ahlburg,Bog,børnematerialer,skønlitteratur,53589537,,1720,6470
Maddag,Christine Erritzøe,Bog,"folkeskoleniveau,børnematerialer",madlavning,53066550,,1720,6471
Havehuse & hyggekroge,Christina Elisabeth Søgaard,Bog,"alment niveau,voksenmaterialer",haveanlæg. havearkitektur,29894647;50569764,99122768030305763,1833,6472
Karitas uden titel,Kristín Marja Baldursdóttir,Bog,voksenmaterialer,skønlitteratur,28323476;26689023;27459242;44992450,99122193500805763,3195,6473
Hjulene på bussen - og andre fagtesange,,Billedbog,"førskoleniveau,børnematerialer","vokalmusik for børn,børnesange",51687337,,1719,6474
Trofast indtil døden,Jonas Moström,Bog,voksenmaterialer,skønlitteratur,62865385;24499812,99122292463405763,1773,6475
Ninja Niller & Latino Lars,Rune Fleischer,Bog,børnematerialer,skønlitteratur,28649681,,1719,6476
Når engle græder blod,Jakob Knudsen (f. 1969),Bog,voksenmaterialer,"krimi,politiromaner",29841039;50971287,,1949,6477
Lilla og Løve,StineStregen,Billedbog,børnematerialer,skønlitteratur,53016952,,1718,6478
Low carb,Ditte Ingemann,Bog,"alment niveau,voksenmaterialer",diætmadlavning,51489756;29743533;24607682,,2292,6479
Astralis,Eva Mosegaard Amdisen,Bog,"folkeskoleniveau,børnematerialer",computerspil,45951464,,1717,6480
Højt at flyve,Kirsten Sonne Harild,Bog,børnematerialer,skønlitteratur,52977630;53660134;24051668;28014147;27207553;26481961;61592261;134285133;20437278;07141432;24882632;25184726,99122142718605763;99124247935205763;99122443833205763,2118,6481
Lille Laban,"Inger Sandberg,Lasse Sandberg",Billedbog,børnematerialer,humor,29333629,,1717,6482
Motorcykler,Per Østergaard (f. 1950),Bog,"folkeskoleniveau,børnematerialer",motorcykler,53647650;28196210;50573559;29167907;29476020;25745485;26190223;27072844;27820247;26265576;27402119;26532930;28467028;23264692;07155859;22050397;08076790;08068143,,5000,6483
Gangsterens nye klæder,Manu Sareen,Billedbog,børnematerialer,"eventyr,humor",29214778,,1716,6484
Palle skal på ferie,,Bog,børnematerialer,skønlitteratur,27233538,,1716,6485
Kejserens nye kluns,Rune T. Kidde,Billedbog,børnematerialer,"humor,omvendte eventyr",52041953,,1716,6486
Straf,"Håkan Nesser,Paula Polanski",Bog,voksenmaterialer,psykologisk thriller,51663489;27401929;51870123;28160763,,1992,6487
PJ Masks - den forsvundne fødselsdagskage,,Billedbog,børnematerialer,skønlitteratur,46233824,99122522826205763,1717,6488
Kasper og Sofie er bedstevenner,Tor Åge Bringsværd,Billedbog,børnematerialer,skønlitteratur,27901271,,1716,6489
Jeppe undgår skader,Jørn Jensen (f. 1946),Bog,børnematerialer,skønlitteratur,47664691,,1715,6490
Hej Pippi!,,Billedbog,børnematerialer,pegebøger,52433290,,1715,6491
Pigebogen,"Nina Brochmann,Ellen Støkken Dahl",Bog,"folkeskoleniveau,børnematerialer",den voksnes udviklingsstadier,48535887,99123456852105763,1716,6492
Hvor sover dyrene?,Lise Bidstrup,Billedbog,børnematerialer,skønlitteratur,38600575,,1715,6493
Lærerens relationskompetence,Louise Klinge,Bog,"fagligt niveau,voksenmaterialer",lærerstanden i alm.,53152864,99122603438305763;99122061580505763;99122599068505763,1720,6494
Matilde Mus får en opgave,Gilson,Billedbog,børnematerialer,skønlitteratur,46249666;25481925,,1851,6495
Et lille skridt på vejen,Jenny Fagerlund,Bog,voksenmaterialer,mom lit,48180515,,1714,6496
Emma er ikke bange,Jørn Jensen (f. 1946),Bog,børnematerialer,gys,46860934,,1714,6497
Kommandantens sekretær,Pam Jenoff,Bog,voksenmaterialer,historiske romaner,135868566,,1714,6498
Kødfri mandag,Nadia Mathiasen,Bog,"alment niveau,voksenmaterialer",råkost. vegetarisk mad,52743788,,1714,6499
Skovpigen Skærv,Kim Leine,Bog,børnematerialer,eventyrlige fortællinger,52683343;52833884,,1715,6500
Flunkernes vilde væddeløb,,Billedbog,børnematerialer,gå på opdagelse,26768322,99121981334705763,1717,6501
Knitwear,Susie Haumann,Bog,"alment niveau,voksenmaterialer",strikning,52144523;45146243,99122690819105763,1725,6502
Krageøen - Pelle finder en ønskesten,Astrid Lindgren,Billedbog,børnematerialer,skønlitteratur,62240555,,1713,6503
Palle får en elbil,Jørn Jensen (f. 1946),Bog,børnematerialer,skønlitteratur,50982920,,1713,6504
Low FODMAP diet 3,Stine Junge Albrechtsen,Bog,"alment niveau,voksenmaterialer",diætmadlavning,51919246,,1713,6505
Havørn,"Peter Bering (f. 1948),Birgitte Bering",Bog,"folkeskoleniveau,børnematerialer",rovfugle,52095689,,1713,6506
Aha!,Els Heinsalu,Billedbog,"førskoleniveau,folkeskoleniveau,børnematerialer",videnskab og forskning i alm. kommunikation i alm. edb og it i alm.,48873944,,1712,6507
En julehistorie - og så alligevel ikke,Kim Fupz Aakeson,Billedbog,børnematerialer,skønlitteratur,28421842;47289424,,2222,6508
Søstre på de syv have. Bind 2,Camilla Wandahl,Bog,børnematerialer,skønlitteratur,29636443,,1712,6509
De glemte grave,Peter Gotthardt,Bog,børnematerialer,fantasy,50776395,,1711,6510
Tia og dragekrigen - den røde pest,Sara Ejersbo,Bog,børnematerialer,fantasy,38604139,,1711,6511
Kunsten at være alene,Peter Elsass,Bog,"alment niveau,voksenmaterialer",emotionspsykologi,52398428,99122187744105763,1712,6512
En ny pc,Kirsten Ahlburg,Bog,børnematerialer,skønlitteratur,54970609,,1710,6513
Hissi får en kæreste,Peter Gotthardt,Bog,børnematerialer,sjove bøger,52402107,,1710,6514
Bazaar,Sabrina Ghayour,Bog,"alment niveau,voksenmaterialer",råkost. vegetarisk mad,46860748;47085667,99122988615105763,1729,6515
Befrielsen,Imogen Kealey,Bog,voksenmaterialer,historiske romaner,39598442;47597994;25451147,,2151,6516
Quidditch gennem tiderne,Joanne K. Rowling,Bog,børnematerialer,fantasy,51975952;48919901;53066828,,3208,6517
Malle undersøger,Lucy Cousins,Billedbog,børnematerialer,skønlitteratur,47572983,,1710,6518
Bullshit,"Camilla Stockmann,Janus Køster-Rasmussen",Bog,"alment niveau,voksenmaterialer",kriminologi. forbrydelser,53575129,,1710,6519
Sværd af glas,Victoria Aveyard,Bog,"børnematerialer,voksenmaterialer",fantasy,52858852,99122654302705763,1711,6520
Sats alt,Amy Daws,Bog,voksenmaterialer,skønlitteratur,48888526,,1710,6521
Dræberfiskenes skat,Lone Theils,Bog,børnematerialer,krimi,47307864,,1710,6522
Estrid Ulvfare,Charlotte M. Larsen,Bog,voksenmaterialer,historiske romaner,39144972;62123028,,1771,6523
Din store bog om spændende dyr,Ben Hoare,Bog,"folkeskoleniveau,børnematerialer",værker af blandet indhold,46835727,,1709,6524
Bogen der virkelig ikke ville læses,David Sundin,Billedbog,børnematerialer,skønlitteratur,62651172,99124146971505763,1710,6525
Hannah - tale er guld,Anne-Marie Donslund,Bog,børnematerialer,skønlitteratur,53127274,,1709,6526
Thread Ripper,Amalie Smith,Bog,voksenmaterialer,eksperimenterende litteratur,48643329,,1709,6527
Pige under vand,Stephan Garmark (f. 1980),Bog,voksenmaterialer,krimi,54995857,,1708,6528
Et rige af vinger og kaos,Sarah J. Maas,Bog,"børnematerialer,voksenmaterialer",fantasy,54239769,,1708,6529
Til grænsen,Michael Falch,Bog,"alment niveau,voksenmaterialer","biografier af enkelte personer,erindringer",53467865;46418727,99122977364105763,1850,6530
For enden af perronen,Hanne Richardt Beck,Bog,voksenmaterialer,samfundsskildringer,54710720;46047842,,1711,6531
Det gyldne bælte,Josefine Ottesen,Bog,børnematerialer,fantasy,52974771,,1708,6532
Det (d)øde hus på Egevej,Mette Finderup,Bog,børnematerialer,krimi,53629121,,1707,6533
Deas iglo,Grete Wiemann Borregaard,Bog,børnematerialer,skønlitteratur,52339456,99122787867605763,1708,6534
Smuk køkkenhave,"Louise Risør (f. 1965),Jacob Fischer (f. 1962-06-29)",Bog,"alment niveau,voksenmaterialer",haveanlæg. havearkitektur,46289811;62712759,,2046,6535
Saga passer hund,Pia Hagmar,Bog,børnematerialer,skønlitteratur,52721075,,1706,6536
Troldruner,Peter Gotthardt,Bog,børnematerialer,eventyrlige fortællinger,48943918,99123539955705763,1707,6537
Alt for mange hemmeligheder,Abbi Glines (f. 1977),Bog,voksenmaterialer,skønlitteratur,52942144,99122611145105763,1707,6538
Snesøsteren,Maja Lunde (f. 1975),Bog,børnematerialer,skønlitteratur,55132321,,1706,6539
Lyse nætter,Alberte Winding,Billedbog,børnematerialer,skønlitteratur,62601078,,1706,6540
Nem strik til de allermindste,Martin Storey,Bog,"alment niveau,voksenmaterialer",strikning,52683181,,1706,6541
Mor henter os altid igen,Malene Staal,Bog,"alment niveau,voksenmaterialer","biografier af enkelte personer,erindringer",51855000,,1706,6542
Havfruemystik,Rosie Banks,Bog,børnematerialer,eventyrlige fortællinger,39392674,,1706,6543
Mysteriet om kufferten,Katariina Heilala,Billedbog,børnematerialer,eventyrvæsener,54055862,,1706,6544
Femten år,Vigdis Hjorth,Bog,voksenmaterialer,skønlitteratur,135401307;134024992,99124193058905763,1800,6545
Rejse med let bagage,Tove Jansson,Bog,voksenmaterialer,skønlitteratur,54081197,,1705,6546
Mørket lurer,"William McIlvanney,Ian Rankin",Bog,voksenmaterialer,skønlitteratur,62247487,,1705,6547
De døde fra havet,Nicole Boyle Rødtnes,Bog,børnematerialer,gys,47640873,,1705,6548
Woodwalkers - farligt venskab,Katja Brandis (f. 1970),Bog,børnematerialer,fantasy,54220421,,1704,6549
Fatale forandringer,Christian Ørsted,Bog,"fagligt niveau,alment niveau,voksenmaterialer",virksomhedsledelse i alm.,48255035,,1704,6550
Ti øl i en å,Kirsten Ahlburg,Bog,børnematerialer,skønlitteratur,54970463,,1704,6551
Tænk og bliv rig!,Napoleon Hill,Bog,"alment niveau,voksenmaterialer",praktisk etik i alm.,50710297,99122918044905763,1711,6552
"Se, rør, føl og form",,Billedbog,børnematerialer,pegebøger,48682049,,1703,6553
Skønne salater & vidunderligt tilbehør,Emma Martiny,Bog,"alment niveau,voksenmaterialer",madlavning,51498585,99122950629605763,1705,6554
"Velbekomme, hr. Struganoff",Kim Fupz Aakeson,Billedbog,"børnematerialer,voksenmaterialer",sjove bøger,50609812,,1703,6555
"Rødt hjerte, blåt blod",Casey McQuiston (f. 1991),Bog,voksenmaterialer,skønlitteratur,48431879,99123439480505763,1705,6556
Palle får nyt værelse,Jørn Jensen (f. 1946),Bog,børnematerialer,skønlitteratur,29090807,,1703,6557
Hvor er fru Høne?,,Billedbog,børnematerialer,løft og kig,46690524,,1703,6558
Jeg kender en lokofører,Ralf Butschkow,Billedbog,"førskoleniveau,folkeskoleniveau,børnematerialer",skinnetrafik. jernbanetrafik,48008569,,1703,6559
Asta går den forkerte vej,Trine Bundsgaard,Bog,børnematerialer,skønlitteratur,39014106,,1703,6560
Kentauren Tagus,Adam Blade,Bog,børnematerialer,fantasy,27359388,,1703,6561
Den medicinske seers guide til et sundt stofskifte,Anthony William,Bog,"alment niveau,voksenmaterialer",stofskiftets og de endokrine kirtlers sygdomme,54463855,99122808544405763,1705,6562
Dyrepasseren i Berlin Zoo,Anna Stuart,Bog,voksenmaterialer,historiske romaner,62902175,,1703,6563
Et strikkeliv,Marianne Isager,Bog,"alment niveau,voksenmaterialer","strikning,erindringer",135134686,,1702,6564
Fra interaktion til relation,,Bog,"fagligt niveau,voksenmaterialer",børne- og ungdomspsykologi,27440908,99122053522705763,1718,6565
Arseniktårnet,Anne B. Ragde,Bog,voksenmaterialer,slægtsromaner,27709990;28543638;51301315;28774737,99122883366605763;99122677060005763;99122683939405763,1881,6566
Rita Rim - ny by,Mette Vedsø,Bog,børnematerialer,skønlitteratur,53547257,,1702,6567
En fe på tå,Karina Jansen,Bog,børnematerialer,skønlitteratur,39610345,,1702,6568
Filmmagi,Rosie Banks,Bog,børnematerialer,eventyrlige fortællinger,38188216,,1701,6569
Sørens og Mettes hule,Kirsten Koch Jensen,Bog,børnematerialer,skønlitteratur,51921275,,1701,6570
Fest på juleslottet,Rosie Banks,Bog,børnematerialer,eventyrlige fortællinger,51321812,,1701,6571
Ib går på g-jagt,Marie Duedahl,Bog,børnematerialer,sjove bøger,46562062,,1701,6572
Hæklet frugt og grønt,Maja Hansen (f. 1982-05-02),Bog,"alment niveau,voksenmaterialer",dukker,29953880,,1701,6573
Mega Wizard slår til,Bjarke Schjødt Larsen,Bog,børnematerialer,science fiction,55132003,,1701,6574
Familien von Hansen får en hund,Dorte Roholte,Billedbog,børnematerialer,skønlitteratur,29700729,,1701,6575
Guld og grønne skove,Annette Danielsen,Bog,"alment niveau,voksenmaterialer",strikning,53002137;22448374;51414527;29162336;54054874;08457409;54751230,99122105107005763;99122928335805763;99122837058805763,2205,6576
USA,Tommy Heisz,Bog,"folkeskoleniveau,børnematerialer",usa,53307566;28240937;46107721;47288932;27299407;50684261;27773311;29377553;27337767;24223884;48801641;48235832;134463643;52401275;54210221;52441366;45204790;28235100;45557995;25364821;47400961;26083362;54424205;38307509;21147915;28586019;48818552;21375314;23591782;06836666;44355914;43982028;22277286;1428641;26327334;24011682;25179633;44145138,99122961599505763;99122113502705763;99122608927005763,4648,6577
Sceneskræk,Maja Lunde (f. 1975),Bog,børnematerialer,sjove bøger,53006280,,1700,6578
Den ottende bonde,Bent Haller,Bog,voksenmaterialer,"landliv,slægtsromaner",26746612,99122169794405763,1701,6579
Ad! - hvem har tisset?,Clare Helen Welsh,Billedbog,børnematerialer,skønlitteratur,61657371,,1699,6580
Bilture i Sverige,Jørgen Hansen (f. 1951-05-06),Bog,"alment niveau,voksenmaterialer",sverige,38892622,99123765986405763,1700,6581
E-sport,Troels Gollander,Bog,"folkeskoleniveau,børnematerialer",computerspil,46484126;53987680;53286321;38781618;54525990,99123685458705763,4207,6582
Teo og Dy,Lene Møller (f. 1945),Bog,børnematerialer,skønlitteratur,29728380,99122371483505763,1702,6583
Cyril Averys hjerte,John Boyne,Bog,voksenmaterialer,skønlitteratur,53508677,,1698,6584
Dømt,"Kenneth Degnbol,Dagmar Winther (f. 1980-12-04)",Bog,voksenmaterialer,skønlitteratur,62220449;05598826;49018355;01335561,99122303175705763,1708,6585
Palle lærer førstehjælp,Jørn Jensen (f. 1946),Bog,børnematerialer,skønlitteratur,28011164,,1698,6586
Tor i bad,Kirsten Ahlburg,Bog,børnematerialer,skønlitteratur,53835783,,1698,6587
De tavse vidner,Marianne Jørgensen (f. 1966),Bog,voksenmaterialer,"historiske romaner,landliv",51901819;53138527,99122869351005763,1702,6588
Våben,Troels Gollander,Bog,"folkeskoleniveau,børnematerialer",våben og krigsmaskiner,29807345;25631323;27127533;29099596;23541246;27682340;25175530,,3388,6589
Velsignelser,Caroline Albertine Minor,Bog,voksenmaterialer,skønlitteratur,52974755,99123918688105763,1699,6590
En ko på en ko på en ko,Jeannette C. M. Damsted,Bog,børnematerialer,skønlitteratur,48742033,99123524549205763,1701,6591
Mine mænd,Victoria Kielland,Bog,voksenmaterialer,"biografiske romaner,historiske romaner",62906081,,1697,6592
Soldat,Troels Gollander,Bog,"folkeskoleniveau,børnematerialer",militærvæsen,29193428,99122045530705763,1699,6593
Rottefælden,M. W. Craven,Bog,voksenmaterialer,skønlitteratur,62034882,99122662637205763;99122789847505763,1700,6594
Otto laver film,Rune Fleischer,Bog,børnematerialer,sjove bøger,54396139,,1696,6595
"Warm knit for cool kids, 2-8 år",Susie Haumann,Bog,"fagligt niveau,voksenmaterialer",strikning,51346513,,1696,6596
Helhjertet,René Dahl Andersen (f. 1972),Bog,"alment niveau,voksenmaterialer","biografier af enkelte personer,erindringer",62987677;28131933,99124292550605763,1698,6597
De døde hvisker i vinden,Tommy Thorsteinsson (f. 1965),Bog,voksenmaterialer,skønlitteratur,62282142,,1695,6598
Jamaica Lane,Samantha Young,Bog,voksenmaterialer,skønlitteratur,53250815,,1695,6599
Nordisk mytologi,Neil Gaiman,Bog,"folkeskoleniveau,alment niveau,børnematerialer,voksenmaterialer","nordiske religioner. andre europæiske religioner,gudesagn,nordiske gudesagn,nordiske sagn,sagn",53577938;27814786;23195917;21484938;53951678;53360734;795750,99122651707905763;99122085168405763;99122356014105763,2800,6600
Fantomsmerte,Thomas Enger,Bog,voksenmaterialer,krimi,29022682;51163052;45107388,,1825,6601
I ond tro,Keigo Higashino (f. 1958),Bog,voksenmaterialer,krimi,48944043;51226860;38763695;53094988,,2371,6602
Krucifiks morderen,Chris Carter,Bog,voksenmaterialer,krimi,28251432;54323646;28917619,99122448389305763;99122976639405763;99122355455305763,2444,6603
Hugo & Holger bygger et hundehus,Oscar K.,Billedbog,børnematerialer,skønlitteratur,62019107,,1694,6604
Jons blå tå,Dorte Sofie Mørk Emus,Bog,"folkeskoleniveau,børnematerialer",skønlitteratur,52154790,99122379374705763,1695,6605
Skillevejen,Danielle Steel,Bog,voksenmaterialer,skønlitteratur,61545808,,1694,6606
Den gyldne søn,Shilpi Somaya Gowda,Bog,voksenmaterialer,skønlitteratur,52154391;54199023,,1698,6607
Vidunderlige august,Brenda Bowen,Bog,voksenmaterialer,skønlitteratur,52535476,,1694,6608
Dyr i nød - 3 små katte,"Sanne Haugaard,Pia Aagesen",Bog,børnematerialer,skønlitteratur,52911699,,1694,6609
Grøn mad let at lave,"Marianne Kastberg,Kirsten Høgh Fogt",Bog,"alment niveau,voksenmaterialer",råkost. vegetarisk mad,46575601,,1694,6610
I lovens navn,Bent Isager-Nielsen,Bog,"alment niveau,voksenmaterialer","biografier af enkelte personer,erindringer",39160293,99121995396705763;99123805152305763,1697,6611
Søren og Mette klæder sig ud,Kirsten Koch Jensen,Bog,børnematerialer,skønlitteratur,51921321;62832886,,1927,6612
Peter Pedal besøger en brandstation,,Billedbog,børnematerialer,sjove bøger,25767098,99122034928405763,1694,6613
Peter Pedal og byfesten - og tre andre historier,"Margret Rey,H. A. Rey",Billedbog,børnematerialer,sjove bøger,52329205,99122060579005763,1694,6614
Uden forbehold,S. J. Hooks,Bog,voksenmaterialer,skønlitteratur,53530907,99122942495305763,1694,6615
Trafikken set fra helikopter,Daniela Prusse,Billedbog,børnematerialer,skønlitteratur,51267435,,1693,6616
Den yngste,Fatima Daas,Bog,voksenmaterialer,skønlitteratur,62599995,,1692,6617
Klub 007,Randi Solvang,Bog,børnematerialer,skønlitteratur,51309197,99122930974405763,1693,6618
Kan man tro på Pia?,Erik Vierø Hansen,Bog,børnematerialer,skønlitteratur,50645436;25542932;48742319;47214157,99123524551805763,3374,6619
Ulveridderne - flammen i øjet,Peter Gotthardt,Bog,børnematerialer,fantasy,54516770,,1692,6620
Skovens gåder,Gunvor Ganer Krejberg,Bog,børnematerialer,eventyrlige fortællinger,54580932,,1692,6621
Du er helt speciel,Katja Bøggild-Qwist,Billedbog,børnematerialer,skønlitteratur,50841758,,1691,6622
Hotellet på hjørnet af bitter og sød,Jamie Ford,Bog,voksenmaterialer,skønlitteratur,28729715;46353617;29442207,,2357,6623
#Bystrik,Ingunn Myklebust,Bog,"alment niveau,voksenmaterialer",strikning,48706614,,1691,6624
Patria,Fernando Aramburu,Bog,voksenmaterialer,skønlitteratur,46862562;52597641,,1743,6625
Roadtrip,Beth O'Leary,Bog,voksenmaterialer,skønlitteratur,62640677,,1690,6626
Mine første 50 dyr,,Billedbog,"førskoleniveau,børnematerialer","værker af blandet indhold,billedordbøger,løft og kig,pegebøger",47201535,,1690,6627
Den ukendte hustru,Leif Davidsen,Bog,voksenmaterialer,"samfundsskildringer,spænding",26186285;29291527;26967228,99122259781405763;99122019471805763,2031,6628
Mia og festen,Kirsten Ahlburg,Bog,børnematerialer,skønlitteratur,53559697,,1690,6629
Find med Finn,Peter Goes,Billedbog,børnematerialer,gå på opdagelse,47023777,,1690,6630
Verdens grimmeste dyr,Peter Bering (f. 1948),Bog,"folkeskoleniveau,børnematerialer",værker af blandet indhold,46358198,,1690,6631
Tyven i hullet,Kirsten Ahlburg,Bog,børnematerialer,fantastiske fortællinger,53327818,,1690,6632
Sorte øjne,Jeanette Sigsgaard,Bog,voksenmaterialer,skønlitteratur,61581308;47929954;06971393,99122709331705763;99123331808805763,2165,6633
Verden af i går,Stefan Zweig,Bog,"alment niveau,voksenmaterialer","biografier af enkelte personer,erindringer",50769127;52676452;54152639;23995905;06500919;07652453;112554351,99122545985305763;99122985168105763;99122613734405763,2628,6634
Mørkebarnet,,Billedbog,børnematerialer,rim,26744350;50837424,,2929,6635
På flugt i regnskoven,Mary Pope Osborne,Bog,børnematerialer,spænding,26467241,99121938238305763,1690,6636
Matilde Mus på ferie,Gilson,Billedbog,børnematerialer,skønlitteratur,54068948,,1689,6637
Efterårsperler,Betina Houlind Kruse,Bog,"folkeskoleniveau,alment niveau,børnematerialer,voksenmaterialer",øvrige grene af kunsthåndværket,39517833,,1689,6638
Nora bager en kage,Sabine Lemire,Bog,børnematerialer,skønlitteratur,53407978,,1689,6639
Naturens hemmelige netværk,Peter Wohlleben,Bog,"alment niveau,voksenmaterialer",økologi. biogeografi,47223857,,1689,6640
De smukke døde,Belinda Bauer,Bog,voksenmaterialer,"krimi,psykologisk thriller",53261655,,1689,6641
Nytår hos Jens og Liv,Maria Rørbæk,Bog,børnematerialer,skønlitteratur,54229399,,1689,6642
Troldkvinden Sorte Ravn,Peter Gotthardt,Billedbog,børnematerialer,fantasy,50841200,,1689,6643
Den hvide pige,Tony Birch (f. 1957),Bog,voksenmaterialer,skønlitteratur,62184523;51792475;22538330,,2285,6644
Hvad sker der om natten?,Laura Cowan,Billedbog,børnematerialer,skønlitteratur,46455568;00157287,,1692,6645
Matilde Mus på fisketur,Gilson,Billedbog,børnematerialer,skønlitteratur,46249607,,1689,6646
Hvor er dinoen?,,Billedbog,børnematerialer,gå på opdagelse,29479887,,1688,6647
Sovebogen for voksne,Kathryn Nicolai,Bog,voksenmaterialer,godnathistorier,48913067,99123532963905763,1689,6648
Skyriel,Lene Dybdahl,Bog,børnematerialer,fantasy,52610044;39269465,,1707,6649
Hækleri,Molla Mills,Bog,"alment niveau,voksenmaterialer",hækling. orkis. filering,53573851,99121957601605763,1688,6650
Gift,Tove Ditlevsen,Bog,"alment niveau,voksenmaterialer","biografier af enkelte personer,erindringer",29355967;46211421;39187949;28303114;21895504;135035831;28811527;05378923;01427326;53860877;05145317;06884776;06456960;49040083;111965595;07508689;321769651,99122177483005763;99122177520905763;99123807297005763;99122727912205763;99122168908105763;99122113649505763,5012,6651
Outlander. 8. bind,Diana Gabaldon,Bog,voksenmaterialer,skønlitteratur,38246399,,1687,6652
Jeg er Saga,Silja Okking,Bog,børnematerialer,fantasy,61412662,,1687,6653
Silas er spion,Marie Duedahl,Bog,børnematerialer,sjove bøger,54415540,,1687,6654
Koldere mod natten,Britt Karin Larsen (f. 1945),Bog,voksenmaterialer,slægtsromaner,54081286,,1687,6655
Gro og ponyen,Kirsten Ahlburg,Bog,børnematerialer,skønlitteratur,28394411,,1687,6656
Jagten på guldosten,Camilla Brinck,Bog,børnematerialer,eventyrlige fortællinger,48682111,99123486268605763,1689,6657
Der var engang en barndom,Georg Metz,Bog,voksenmaterialer,biografiske romaner,61745076,,1686,6658
Fantasyvenner,Mie Møller Bie (f. 1988),Bog,"folkeskoleniveau,børnematerialer",øvrige grene af kunsthåndværket,53508065,,1686,6659
De største danske fodboldspillere,Christian Mohr Boisen,Bog,"folkeskoleniveau,børnematerialer",fodbold,53618782,,1686,6660
"Mad, du kan spise -",Karin Hald,Billedbog,"førskoleniveau,børnematerialer","levnedsmiddelindustri. teknisk biokemi i alm.,pegebøger",48351255,,1686,6661
Se lige dyrene! - dyr der er store,,Billedbog,børnematerialer,"pegebøger,rim",47679958,,1686,6662
Carla & Vilhelm Hansens Rasmus Klumps eventyr - Prinsessen på ærten,"Carla Hansen (f. 1906),Vilh. Hansen (f. 1900)",Billedbog,børnematerialer,eventyr,52949661,,1686,6663
Birk er Batman,Marie Duedahl,Bog,børnematerialer,sjove bøger,54168721,,1685,6664
Den skjulte dagbog,Anna Stuart,Bog,voksenmaterialer,"dagbøger,historiske romaner",62902078;06224601,,1685,6665
Ekspeditionen,Nicole Boyle Rødtnes,Bog,børnematerialer,gys,53917607;51479483,99122812869905763,1782,6666
