faust_number,isbn,book_title,book_author,isbn_scraped,top10k
52257832,,Ib kan ikke holde det ud,Peter Nordahl,9788702183313_2685,2685
46636279,,Historien om os,Renée Carlino,9788772007144,2686
47780829,,Turen går til Normandiet & Bretagne,Ove Rasmussen (f. 1953),9788740054675,2687
38711202,9788702309195.0,Wonderscape,Jennifer Bell,9788702308815,2688
53103634,,Komodovaranen,Sebastian Klein,9788727017280,2689
7071639,,Lotte og Per anderledes,Gunilla Wolde,9788756250627_2690,2690
51318889,,Manden uden hjerte,"Camilla Grebe,Åsa Träff",9788711994740,2693
38666797,,Dengang Mor Muh mødte Krage,Jujja Wieslander,9788702309386_2694,2694
62088338,,Dyrehjerte,Ulrika Rolfsdotter,9788772390826_2695,2695
47678056,9788726365115.0,Godnathistorier. 7,,,2696
52190851,,Lili laver cirkus,Kim Fupz Aakeson,9788702185713,2697
53399320,,Sandheden om sukker,Anette Sams,9788702243215_2698,2698
52052327,,Hvide spor,Emelie Schepp (f. 1979),9788740059342_2699,2699
54372744,9788772042985.0,Seje frispark og beskidte tricks,Antoine Griezmann (f. 1991),9788772042183_2700,2700
20097248,,Ud i det blå med Peddersen,Sven Nordqvist,9788756257190_2701,2701
48082483,9788770187527.0,Duftapoteket - der er en hemmelighed i luften,Anna Ruhe,9788775498215,2702
46596765,,Den store bog om små haver,Nina Ewald,9788799671946,2703
135132527,,Kuglen der ikke ramte,Richard Osman,9788702370102_2704,2704
46963504,,Olaf og de tre isbjørne,Calliope Glass,,2705
46390695,,Løvernes konge,,,2706
46370635,,Et ubetydeligt mord,"Mikael R. Lindholm (f. 1961),Lisbeth Zornig Andersen (f. 1968)",,2707
38907204,,Hvad fanden er et bandeord?,Thomas Brunstrøm,9788711990469_2709,2709
29869243,,Bøn om tavshed,Linda Castillo,9788792845573,2710
38289217,,En sang til dystre tider,Ian Rankin,9788772046167_2712,2712
29970025,,Sorte sø,Lars Kjædegaard,9788763834049_2713,2713
51874323,9788771748994.0,De 5 og cirkuskaravanen,Enid Blyton,,2714
53568653,,Jul på Stony Cross Manor,Lisa Kleypas,9788763853453,2715
53372058,,Peters kærlighed,Mich Vraa,9788711915530_2716,2716
54933193,,Os mod jer,Fredrik Backman,9788770364096,2717
47674387,,PS: Jeg elsker dig for evigt,Cecelia Ahern,9788770368049,2718
62161353,,Olivias hemmelighed,Muna Shehadi,9788771165548,2719
47602955,9788702291346.0,Syv fantastiske fortællinger,Karen Blixen,9788702102253,2720
48991564,,Pølse vil ikke i bad,Oliver Zahle,,2721
47694159,,199 dinosaurer og andre forhistoriske dyr,,,2723
62523875,,Evelyn Hugos syv ægtemænd,Taylor Jenkins Reid (f. 1983),9788775711710_2724,2724
53474373,9788702191486.0,Nuets kraft,Eckhart Tolle,9788702361681_2725,2725
51116445,,Ib slukker brandmanden,Peter Nordahl,9788702157727_2726,2726
51392876,,Ib skruer støttehjulene af,Peter Nordahl,9788702157758_2728,2728
134911808,,Tårernes Europa,Lykke Friis,9788793982581_2729,2729
52898323,,Frist mig i den blå time,Lisa Kleypas,9788763846745,2730
29569894,,Dandy,Jan Guillou,9788771460292_2731,2731
51269802,9788711323243.0,Lig bløder ikke,Inger Gammelgaard Madsen,9788799538560_2732,2732
61991484,,Turen går til Rom,Alfredo Tesio,9788740088588_2733,2733
54121644,,Lykke,Mikaela Bley (f. 1979),9788771596830,2735
48991521,,Pølse vil ikke i børnehave,Oliver Zahle,,2736
62921951,,Familieopskriften,Veronica Henry,9788702347364_2738,2738
61376763,,Strik på budget,Kristine Sloth,9788772390468,2740
46148878,9788711909287.0,Kylian Mbappé,Christian Mohr Boisen,,2741
38823345,,Vagtposten,"Lee Child,Andrew Child",9788742604243_2742,2742
48366058,9788723549624.0,Real Madrid C.F.,Maja Plesner,,2743
54968671,,"Turen går til Tenerife, La Gomera, La Palma & El Hierro",Mia Hove Christensen,9788740060195,2744
46487311,9788770183550.0,Danske gamere,Anne-Sofie Duch Teglgaard,,2745
28258070,9788711438756.0,Formørkelse,Stephenie Meyer,9788711901663_2747,2747
7071493,,Lotte modsat,Gunilla Wolde,9788756250573_2749,2749
50664392,9788711356630.0,Rejseholdet rykker ud,Eigil V. Knudsen,9788711883815,2751
52041961,,Aisha,Jesper Stein,9788740048094_2752,2752
47578205,,Plus 40 minus 10,"Majbritt L. Engell,Alice Apel Hartvig",9788702289138,2753
29607206,9788711301050.0,Nynnes dagbog,"Henriette Lind,Lotte Thorsen,Anette Vestergaard",,2754
54700180,,Kastevind,Alberte Winding,9788763857239_2755,2755
48754678,9788726370591.0,Mord i Rio,Jan Thiele,9788771288414,2756
28240988,,Willi er sur,Kirsten Sonne Harild,9788702087673_2757,2757
54495404,,Buller og hans fine krop,Mervi Lindman,9788799994793_2758,2758
29301409,9788763821230.0,Historien om hønsepigen,Bent Haller,9788763801751_2760,2760
29781524,,Trofæ,Steffen Jacobsen (f. 1956),9788771591101,2761
48937357,,Den tavse pige,Tess Gerritsen,9788742603802,2762
46850955,9788793544949.0,Hjem til jul,Joanna Bolouri,9788793699601_2763,2763
48778844,,Cirkeline finder farver,Hanne Hastrup,9788702307757_2764,2764
52629594,,Delfineventyret,Rosie Banks,9788762726710_2765,2765
61553037,,Liget i boghandlen,Helen Cox,9788771165524_2767,2767
6894194,,Totte klæder sig ud,Gunilla Wolde,9788756240932_2768,2768
47045797,,Tom Gates - topelev (næsten),Liz Pichon,9788763859929_2769,2769
47334314,,Is-slottet,Tarjei Vesaas,,2770
53593666,9788711579527.0,Mig uden dig,Kelly Rimmer,9788711903148,2771
46757017,,Sku' det være en anden gang,Sarah Skyt Persson,9788711995969,2774
46984161,,Patrioterne,Pascal Engman (f. 1986),9788770361835,2775
54935951,,De venstrehåndedes forening,Håkan Nesser,9788770070645_2776,2776
38959492,,Skal vi bytte?,Stephanie Blake (f. 1968),,2777
62247533,,Cellisten,Daniel Silva,9788771919080,2779
62169753,,Håbets ø,Anna Mejlhede,9788772386560,2780
26848660,,Peter Pedal opdager en dinosaur,,,2782
28705875,,Alfons og tallene,"Sofia Hahr,Pia Hinnerud",,2783
50988732,,Bryd tavsheden,Linda Castillo,9788740052008_2784,2784
48108598,,Syv år efter,Karin Heurlin,9788793825260_2785,2785
46446461,,Orkideens hemmelighed,Lucinda Riley,9788763862424_2786,2786
50651134,,Brunpels,Sissel Bøe,9788771658668,2787
51026721,,Mærket for livet,Emelie Schepp (f. 1979),,2788
53367062,9788711739372.0,Den svære kærlighed,Christina Copty,9788711565407,2789
47430356,,Skyggegæsten,Tor Lindsø,,2790
39322188,9788702327090.0,Pagten,Thorkild Bjørnvig,9788702311402,2791
52807409,,En holdt kvinde,Karin Slaughter,9788771910322_2792,2792
47512247,,Jæger,Walther Rebernik (f. 1972),,2794
53915736,,Tom Gates er totalt suveræn,Liz Pichon,9788763851879_2795,2795
21459666,,Og hanen gol,Sven Nordqvist,9788756269506_2796,2796
39576139,,Et liv med LEGO,Jens Andersen (f. 1955),9788740062779,2797
38307487,,Strik med lækre detaljer,Pernille Cordes,9788740666106,2798
54161336,,Giv ikke slip,Harlan Coben,9788712057956,2800
54068891,,Buller er vred!,Mervi Lindman,9788799994762_2801,2801
52451663,9788711571262.0,Hades' hus,Rick Riordan,9788711915233_2802,2802
6894054,,Totte og katten Kisser,Gunilla Wolde,9788756240871_2804,2804
47512301,,Den store bog om følelser,"Felicity Brooks,Frankie Allen",9788772240725,2805
47045746,,Otte måneder,Magnus Montelius,9788770072229,2806
46360702,,Lad mig dø,Clare Mackintosh,9788793338951,2807
47964474,,En fortælling om sangfugle og slanger,Suzanne Collins,9788702292923_2808,2808
51838548,9788711337547.0,Min skaldede morfars godnathistorier,Thorstein Thomsen (f. 1950),,2809
38691325,9788793497917.0,Helios-ekspeditionen - frostplaneten,Benni Bødker,9788793497702,2810
55107254,,40 uger inden,Cana Buttenschøn,9788772007892,2811
38202766,,Kaptajn Underhyler i farver - professor Prutpotte og den skumle slagplan,Dav Pilkey,9788711985168_2812,2812
52683327,,Gramhavet,Erling Jepsen (f. 1956),9788702216677_2813,2813
54985134,9788702152456.0,Hærværk,Tom Kristensen (f. 1893),9788702117790_2814,2814
46438825,,Turen går til Wien,Christine Proksch,9788740079074_2815,2815
47374421,9788726317978.0,Factfulness,Hans Rosling (f. 1948),9788711557266_2816,2816
29782431,9788711388839.0,Enke i et år,John Irving,,2820
52063302,,Ib går ud af bussen,Peter Nordahl,9788702183351_2821,2821
47472369,9788793834293.0,Grib mig,Ginger Scott,9788793834491,2822
27463290,9788790100469.0,Busters verden,Bjarne Reuter,9788702396805,2824
52431352,,Mø er en fe,Marie Duedahl,,2825
29390134,9788711395103.0,Ting på hovedet,Anders Morgenthaler,,2826
62911719,,Damer der var for meget,Sara Alfort,9788712067771_2827,2827
62246758,,Enkerne,Pascal Engman (f. 1986),9788772386881_2829,2829
54095783,,Verdens farligste krokodiller,Sebastian Klein,9788727017303_2830,2830
50696359,9788711352328.0,Stjålet identitet,Inger Gammelgaard Madsen,9788799538553_2831,2831
51612396,,Elskede Heidi,"Lotte Hammer,Søren Hammer",,2834
51965906,,Døden venter,Linda Castillo,9788740051971,2835
62607343,,Når vi ikke længere forstår verden,Benjamín Labatut,9788740077469_2836,2836
28469675,,Carl,Ida Jessen (f. 1964),9788763811170,2837
54881541,,Mumi og den store vinterfest,,,2838
53970397,9788763848442.0,Det Levende Sværd,Cecilie Eken,9788763812726,2839
46496639,9788726181616.0,Rasmus Klump på skattejagt,"Carla Hansen (f. 1906),Vilh. Hansen (f. 1900)",,2840
29793174,9788771305012.0,Sværkeslægten. 1,Helene Strange,9788771621754,2841
25915690,,Alle elsker Sigge,,,2842
39161486,9788726943054.0,Prinsen af ondskab,Holly Black,9788727000657_2843,2843
53090745,,Charlie og chokoladefabrikken,Roald Dahl,9788702389005,2845
52949637,,Vaiana,Tine S. Norbøll,,2846
51838793,9788711331293.0,Kvinder der forandrede Danmark,Maria Helleberg,9788711693094,2847
62523824,,Ingen som dig,Nick Hornby,9788740077452_2848,2848
46598407,,PS fra Paris,Marc Levy,,2849
46222245,,Francesca,Lina Bengtsdotter (f. 1977),9788772006819,2850
38219189,,Ekspeditioner,Rane Willerslev,9788770365154,2851
52450802,,Rosa,"Lotte Hammer,Søren Hammer",,2852
53540821,,Geniale idéer,Liz Pichon,9788763851855_2853,2853
52575346,9788711705131.0,Iqbal Farooq og den hemmelige ismaskine,Manu Sareen,9788711984857_2854,2854
51309227,,Pas på kanin!,Randi Solvang,,2855
46878396,,Nora går i vuggestue,Kirsten Sonne Harild,9788702279900_2856,2856
46847466,9788726097726.0,Peter Plys,K. Emily Hutta,,2857
52649153,,Efter stormen,Linda Castillo,9788740051957_2859,2859
38965808,,Aldrig mere angst,Sisse Find,9788702292626,2860
51695070,,Forårets gåder,Lisa Kleypas,9788763837392,2861
46470206,,Kate og Rosemary,Libby Page,9788712056065,2862
51360974,,Efterårets luner,Lisa Kleypas,9788763836807,2863
28942443,9788711406212.0,Den russiske sangerinde,Leif Davidsen,9788711407806,2864
47854377,9788723548603.0,Min største hemmelighed - Sofie,Kit A. Rasmussen,9788723545091,2865
47996678,,Leg med døden,Rachel Abbott,9788712069355_2871,2871
50629546,,Himmeløen,Rosie Banks,9788762719958_2872,2872
62348518,,Arvtageren,Camilla Sten (f. 1992),9788712067290_2873,2873
62049367,,Den dag Leopold blev flov,Dina Gellert,9788772056500_2876,2876
38292064,,Konkursklubben,"Mikael R. Lindholm (f. 1961),Lisbeth Zornig Andersen (f. 1968)",,2877
51057279,,Huset vi voksede op i,Lisa Jewell,,2878
54330391,,Turen går til Rhodos & Kos,Ida Frederikke Ferdinand,,2880
46094581,,Ja! Nej. (Måske -),Liz Pichon,9788763859905_2881,2881
62734523,,Den tavse kvinde,Trude Teige,9788772390758_2883,2883
54686285,,Roblox,Alexander Cox,,2885
39031949,9788797294512.0,Drømmejunglen,Anna Knakkergaard,9788797294505,2886
52166381,9788711523902.0,Mit liv,Jørn Nielsen (f. 1960),,2888
62005742,,Den formidable Sophy,Georgette Heyer,,2889
48137393,,Onde piger,Alex Marwood,9788793279612_2890,2890
134819308,,Kære Kabul,Simi Jan,9788772387154,2891
29689954,,Suveræn strik på den feminine måde,Lene Holme Samsøe,,2892
52249937,,Vores egen lille hemmelighed,Ninni Schulman,,2893
52326044,,Rideturen,Line Kyed Knudsen,9788711916612_2894,2894
52522528,9788764475500.0,Zam,Jesper Wung-Sung,9788763840095_2895,2895
48487467,,Vi skal ikke vågne,Heine T. Bakkeid (f. 1974),,2897
46189159,,Man må ikke spise sine klassekammerater,Ryan T. Higgins,9788711905005,2898
50625532,,Den farlige leg,Mari Jungstedt,9788771590463_2899,2899
46844467,,Turen går til Malta,Hanne Høiberg,9788740042511_2900,2900
47541867,,Kom i balance med anti-inflammatorisk kost,Dorothy Calimeris,,2902
28961189,9788764505535.0,Hushjælp søges,Sophie Kinsella,,2903
47125014,,"""Søvnhormonet"" melatonin",Anette Harbech Olesen,9788797158203,2904
61418679,,Bogen der ikke ville læses,David Sundin,9788743406327_2905,2905
46669436,9788740073348.0,Økseskibet,Jens Henrik Jensen (f. 1963),9788740061949,2906
54260342,,Ib og far i tv,Marie Duedahl,9788740651010_2907,2907
53892841,9788771650648.0,Divergent. 1,Veronica Roth,9788771053135,2909
27977251,,Bogen om børnene i Bulderby,Astrid Lindgren,9788702078916_2910,2910
52205921,,Det bedste til mig og mine venner,Jakob Melander,,2911
62898224,,Alt der glimter,Jenny Colgan (f. 1972),9788702323085_2912,2912
135587443,,Den skjulte,Linda Castillo,9788740093131,2913
46980689,9788726135329.0,Anne Frank's dagbog,Anne Frank,9788711984819_2914,2914
51788931,,En sang fra fortiden,Katherine Webb (f. 1977),9788763847308_2916,2916
54631723,9788711958551.0,Vent på mig,Jennifer L. Armentrout,9788711915134,2918
47034817,,"Søster, min søster",Katrine Nørregaard (f. 1994),,2919
45948927,,Al er rå,Randi Solvang,9788723535719,2920
39124467,,En uimodståelig udfordring,Tessa Dare,9788702306477,2922
29607311,9788711300824.0,Jungledyret Hugo - på farten igen,Flemming Quist Møller,,2923
52331412,,Blindgyde,Jørn Lier Horst,9788770070058_2924,2924
47537436,9788726321234.0,1000-årsriget,Tonny Gulløv,,2925
62418753,,Mørke timer,Michael Connelly,9788772048079_2926,2926
52314488,9788711623169.0,Calendar girl. Bind 1,Audrey Carlan,9788711913543,2927
39363232,9788726962918.0,Ferieklar,,,2928
52168287,9788711523834.0,Iqbal Farooq i Indien,Manu Sareen,9788711566398_2930,2930
52465508,,Belgravia,Julian Fellowes,9787570205554,2931
46621433,,The mister,E. L. James,9781787463608,2932
53076920,9788771831795.0,Øst for paradis,John Steinbeck,9788711698556_2933,2933
48237053,,Magi på pindene,Tanis Gray,9788740661026,2934
52644356,,Skønne klude,Susanne Gustafsson,9788763847780,2935
51050630,9788763835886.0,Dødens terning,Kenneth Bøgh Andersen,9788763811538_2936,2936
46939387,9788723541901.0,Store fodboldklubber,Peter Grønlund (f. 1970-04-11),,2937
47929644,,Frede flipper ud,Trine Bundsgaard,9788702271003,2939
47315638,,Grønt,Jamie Oliver,9788727000930,2940
46065425,,Den rødhårede kvinde,Orhan Pamuk,9788702227666_2942,2942
53969127,,Rød mand - sort mand,Kim Leine,9788702287578_2943,2943
62703024,,Huset ved havet,Liz Fenwick,9788771164749_2944,2944
53562728,,Havblik,Kristín Marja Baldursdóttir,9788702232530,2945
53411223,,SalatTøsen - kål hele året rundt,Mette Løvbom,,2946
29129894,,Fif er en fe,Kirsten Ahlburg,,2948
47754283,9788741509884.0,Ækle æventyr. 1,Rune T. Kidde,,2949
61487948,,Jeg finder dig,Harlan Coben,9788712066194_2950,2950
62169613,,Omsorg,Claire Keegan,9788743401551,2951
52361087,,Frode - og alle de andre rødder,Ole Lund Kirkegaard,9788702197037_2952,2952
50507343,,Lotte fra Spektakelmagergade,Astrid Lindgren,,2953
54730810,,En lille smule heldig,Liz Pichon,9788763856058_2954,2954
46244419,,One dollar man,Ole Sønnichsen,9788711981139,2955
52485037,9788711620441.0,Jalna bliver til,Mazo De la Roche,9788711833834,2956
52652200,,Den uofficielle Pokémon Go håndbog,Ivy St. Ive,,2957
55155178,9788702219449.0,Den uendelige historie,Michael Ende,9788702171716_2958,2958
62485108,,Min fars stemme,Rosalinde Mynster,9788702331950_2959,2959
6894127,,Totte går ud,Gunilla Wolde,9788756240826_2960,2960
55112665,,Argumenter imod kvinder,Birgitte Possing,9788793604186_2962,2962
53508049,9788711861288.0,Love is war. 1,R. K. Lilley,,2964
51263146,,Maze runner - labyrinten,James Dashner,9788763836739_2965,2965
47736145,,Opkald fra Mælkevejen,Bjørn Poulsen (f. 1959),9788711914403,2966
54127774,,De ansatte,Olga Ravn,9788702265583_2967,2967
61526862,,Airfryer opskrifter. Bind 2,Britt Andersen (f. 1967),,2968
51988639,9788702182477.0,Dukkernes nat,R. L. Stine,,2969
27321062,9788702048049.0,Per og bette Mads,Ole Lund Kirkegaard,,2970
61903321,,"Danse, danse, dukke min",Anna Jansson,9788772381381_2972,2972
29890706,9788711373989.0,Officerens datter,Zina Rohan,9788711373989,2973
53411304,,Magda vil selv bestemme,Anne Sofie Hammer (f. 1972-02-05),9788763853293,2974
51224752,,Drengen de kaldte Vitello,Kim Fupz Aakeson,9788702177992_2975,2975
54172710,,Tom Gates  - ekstra fede ting,Liz Pichon,9788763856041_2976,2976
48303447,9788702304589.0,Søstre på de syv have. 1,Camilla Wandahl,9788763859974,2977
51604105,,"Dig, mig og lama",Lars Daneskov,9788743406846_2978,2978
52817730,,Frost,Veronica Wagner,,2979
39051443,,Otto kan selv,Lars Daneskov,9788702313178,2980
51535820,,Ib i bur,Marie Duedahl,,2981
47831202,,Ketoliv,Nicolai Varney,9788740661804,2982
46455193,,Din bror på prærien,Edvard Hoem,9788770706445_2983,2983
51270991,,Hjemkomsten,Victoria Hislop,9788771162196_2984,2984
46595211,,E.T.,,,2985
50507041,,Jeppes potte,Barbro Lindgren,9788702151466_2986,2986
54067828,,Sundhedsrevolutionen,Maria Borelius,9788771913569,2987
47664772,,"Kig og snak om biler, maskiner & transport",Sandra Grimm,,2989
48479219,,Cilkas rejse,Heather Morris,9788794008112_2990,2990
55150303,,Rødder,Marie Louise Toksvig,,2991
46960467,,Forsvundne piger,Angela Marsons,,2992
28536666,,Hævnens gudinde,Sara Blædel,9788771080711_2993,2993
54095805,,Spækhuggeren,Sebastian Klein,9788711698327_2994,2994
46378326,,Roblox,"Alex Wiltshire,Craig Jelley",,2995
53899757,9788771654158.0,Grisha - pigen og mørkningen,Leigh Bardugo,9788771055191,2996
51242327,9788711324073.0,Under skriftesegl,Inger Gammelgaard Madsen,9788799538515_2997,2997
38804898,,Forbandelsen,Christoffer Carlsson,9788702392777,2998
51169603,,Sommernattens hemmeligheder,Lisa Kleypas,9788763841825,2999
51363337,,Rita & Krokodille - pindsvinet,Siri Melchior,9788702156829_3000,3000
48318827,,Hvis bare du var min,Mhairi McFarlane (f. 1976),9788771916997,3001
54071264,,Flunkerne på farten,"Joaquín Cera,Juan Carlos Ramis",,3002
51870883,,Hemmelighedernes atelier,Liz Fenwick,9788771163513,3003
48011381,9788758839431.0,Sorte øjne,Michael Kamp (f. 1974),,3004
46099923,,Fra usund til sund,Oscar Umahro Cadogan,,3005
134125365,,Over mit lig,Jeffrey Archer,,3006
52882893,,Doktor Bagges anagrammer,Ida Jessen (f. 1964),,3008
24306232,,Hvor langt når Alfons?,Gunilla Bergström (f. 1942),,3010
38653822,,Værelse samlet af kvinder,Katrine Grünfeld,9788793980242_3011,3011
134463317,,Æbler falder ikke,Liane Moriarty,9788740077650_3012,3012
38763008,,Dødens engle,Nis Jakob,9788793660243,3013
61489096,,Mit magiske træ,Rane Willerslev,9788773390825,3014
61457593,,Fra mælkekind til madøre,Signe Severin,,3015
62272988,,Kvinden i floden,Sven Petter Næss,9788770075671,3016
39082241,,Turen går til Danmarks smukkeste vandreruter,Gunhild Riske,9788740070392,3017
62441232,,En sommer i Brighton,Lucy Diamond (f. 1970),9788772383064,3018
39120682,,Dybt vand,Lee Child,9788742604762_3019,3019
62198753,9788702325430.0,Au pair,"Kim Fupz Aakeson,Sanne Munk Jensen",9788702316551_3020,3020
38836021,,Hvordan begynder man i skole?,Anna Fiske,9788702304053,3021
29029644,9788764505443.0,Et ærligt liv,Ole Henriksen (f. 1951),,3022
52676886,,Ib kan godt lide pølser,Peter Nordahl,9788702207811_3023,3023
54627866,9788702266795.0,Ravnenes hvisken. Bog 3,Malene Sølvsten,9788702255072_3025,3025
29919712,,Næste stop Rosengädda!,Emma Hamberg,9788793338449,3026
51340639,,Jeg har et tæppe i tusind farver,Anne B. Ragde,,3028
46959248,9788726091830.0,Jungledyret Hugo - i nordlysets land,Flemming Quist Møller,,3030
47934389,,Søjler af ild,Wilbur A. Smith,,3031
5305551,,"Fikst klaret, Alfons Åberg!",Gunilla Bergström (f. 1942),9788701716512_3032,3032
29934525,,Lili holder fest,Kim Fupz Aakeson,9788702138214_3033,3033
62021853,,Jagten på sandheden - rumvæsnerne kommer,Kasper Hoff,9788702324709_3034,3034
51392841,,Ib fodrer myrerne,Peter Nordahl,9788702157734_3035,3035
51583701,,Vejen til Wildflower Hill,Kimberley Freeman,9788702205398,3036
53547699,,Den gode datter,Karin Slaughter,9788771915242_3037,3037
61359834,,Usynlige kvinder,Caroline Criado Perez,9788794301473_3038,3038
38402072,,Den store Totte- og Lotte-bog,Gunilla Wolde,,3040
61449094,,Åh William!,Elizabeth Strout,9788702322576_3041,3041
52272130,9788702178630.0,Hesten og drengen,C. S. Lewis,9788702177879_3042,3042
38641654,9788771836707.0,Stormfulde højder,Emily Brontë,9788771832938,3044
52530172,,Nikkis dagbog - historier fra en ik' specielt talentfuld popstjerne,Rachel Renée Russell,9788741500409_3045,3045
39457547,,Dengang vi troede på havfruer,Barbara O'Neal,9788771484694,3046
62872837,9788772310541.0,Familiehemmeligheder,Julie Houston,9788772310527,3047
62969202,,Mindernes hus,Mary Ellen Taylor,9788702371338_3048,3048
51852591,,Olafs sommerdag,Jessica Julius,,3049
5246377,,Mis med de blå øjne,Egon Mathiesen (f. 1907),9788701544313_3050,3050
47463017,,Boris og den store storm,Ryan T. Higgins,9788711918272,3051
54106033,,Hotel Tusind Lys,Emylia Hall (f. 1978),9788712059103,3052
54815867,9788702272383.0,Få et fantastisk liv!,,,3053
52911702,,Buldas krystal,Apple Jordan,,3054
38640895,,Før sidste akt,Lasse Holm (f. 1968),9788740059137,3056
5427770,,Alfons og uhyret,Gunilla Bergström (f. 1942),,3058
27920500,,Bedstevenner,Sissel Bøe,9788771659610_3059,3059
48808891,,Min far & Kvinden,Annie Ernaux,9788793316218_3060,3060
61570829,,Det andet sted,Rachel Cusk,9788702315202_3061,3061
38209205,,H.C. Andersen,Isabel Sánchez Vegara,,3062
62378107,,Kvinden bag muren,Mandy Robotham,9788743512592,3064
47679818,,Buller finder sutten,Mervi Lindman,9788793723320_3065,3065
52319595,,Erindring om kærligheden,Kirsten Thorup,9788702227727,3066
54944780,9788763848244.0,Slangens gave,Lene Kaaberbøl,9788763828178_3069,3069
28480474,9788711425657.0,Den ældste,Christopher Paolini,9788711374504,3070
51136969,,Lili tæller til 10,Kim Fupz Aakeson,9788702157673_3071,3071
53917046,9788771658439.0,Lasse-Leif,Mette Finderup,,3072
47110289,,Folket i træerne,Hanya Yanagihara (f. 1974),9788740058239,3073
51889355,9788711474808.0,Dommer og bøddel,Inger Gammelgaard Madsen,9788799794416_3074,3074
48911447,,Krigslys,Michael Ondaatje,9788793629868_3075,3075
7071426,,Lottes lillebror er syg,Gunilla Wolde,9788756250603_3076,3076
48440932,,"En, to - is!",Pernille Bønløkke,,3079
38887955,9788726607369.0,Disney - mine første godnathistorier,,,3080
47404886,,Mø til MGP,Marie Duedahl,9788740657777,3081
38904868,,Fra græsplæne til grøntsagsmark,Lene Skrumsager Møller,,3083
29375607,,Den stjålne vej,Anne-Cathrine Riebnitzsky,9788711902295_3084,3084
47651131,9788793699298.0,Mere at holde af,Faith Andrews,9788793699267,3085
62897597,,Hejrens skrig,Ann Cleeves,9788712059370_3086,3086
52606217,,Hvor er Peddersen?,Sven Nordqvist,9788727063614_3087,3087
48318681,,Hvis jeg falder,Anne Thorogood (f. 1971),9788770369800_3088,3088
53939384,,Turen går til Holland,Anette Jorsal,9788740089196_3089,3089
50933717,,Ensomme hjerter og herreløse hunde,Lucy Dillon,9788771162936,3090
39171937,,Et fristende væddemål,Tessa Dare,9788702306538,3091
52060397,,Solopgang,Victoria Hislop,9788771162196_3092,3092
46251555,9788726139808.0,Privat og diskret,Bettina Bjals,,3093
38696629,,Star Girl - lejrskole og løgne,Nicole Boyle Rødtnes,9788741514918_3094,3094
61592482,,Breath,James Nestor,9780241289129,3095
46213521,9788741507705.0,Fanget i flodhestens gab - og andre vilde dyreangreb,Nicole Boyle Rødtnes,,3097
38843192,9788702327700.0,De lange skygger,Kirsten Holst (f. 1936),,3098
52844878,,Sommerlejr,Rosie Banks,9788762726727_3100,3100
54985630,9788702261028.0,Barndom,Tove Ditlevsen,9788702331653_3102,3102
47929547,,Børn i andre lande,Sofie Maria Brand,9788702271010,3103
46621611,,Pandaen,Sebastian Klein,9788711917022_3104,3104
38696718,,Buller kan lide -,Mervi Lindman,9788793723498,3105
62734558,,De dødes sommer,Trude Teige,,3107
51384105,,"Giv den gas, Ib!",Marie Duedahl,9788771419917,3110
46084608,9788702284775.0,Dødningedukken,Peter Mouritzen,9788702273540_3111,3111
50642763,,Islandsk strik,,,3112
62451009,,"Skønne, grønne forårsvinde",Christoffer Holst (f. 1990),9788702352290_3113,3113
39384825,,Hamnet,Maggie O'Farrell,9788772391908,3115
26605059,,Det fortryllede skjold,Peter Gotthardt,9788727002712,3116
53825761,9788702214956.0,Dragen,Ole Lund Kirkegaard,9788702161922_3117,3117
48431909,,Dinosaurbogen,John Woodward,9788742510575,3119
55155267,9788726109054.0,Stor pige!,Danielle Steel,,3120
53274838,,Okker gokker,Matthew Arlidge,9788776779009,3121
52515599,,Hjertets stemme,Jan-Philipp Sendker,9788712056607_3122,3122
54761759,9788711974308.0,Jagten på morderne stopper aldrig,Frederik Strand,9788727023106,3123
48383173,,Turen går til Skotland,Bjarne Nørum,9788740056310_3124,3124
46680472,,Nemesis,Chris Carter,,3125
38800469,,Et stykke af tiden,Benn Q. Holm (f. 1962),9788772390413,3126
54068883,,Buller kysser,Mervi Lindman,9788799994755_3127,3127
55155607,9788726122749.0,Midt i en klunketid,Benjamin Jacobsen (f. 1915),9788711812709,3128
51044959,,Pif paf - en ulv!,Randi Solvang,,3129
51540417,9788702169133.0,"Pragtfuldt, pragtfuldt",Kim Fupz Aakeson,9788702169126_3130,3130
53153070,,Kvinderne på slottet,Jessica Shattuck,9788711697887,3131
50698394,,Havfruerevet,Rosie Banks,9788762719965_3132,3132
38453602,9788726636482.0,Disneys fem historier om venskab,,,3133
53184073,,Gift ved daggry,Lisa Kleypas,9788763846752,3134
51675770,,Blod på sneen,Jo Nesbø,9788771468786_3135,3135
52090172,9788711452066.0,Slangernes gift,Inger Gammelgaard Madsen,9788799538584_3137,3137
54114591,,Vejen til London,Alix Rickloff,9788771915341,3138
50760480,,Yahya Hassan,Yahya Hassan (f. 1995),9788702153521_3139,3139
48109314,,Farfars store flugt,David Walliams,9788771916904,3140
29569940,,Den store bog om Cirkeline,Hanne Hastrup,,3141
47364493,9788758836775.0,Forblændet,Pernille Kim Vørs (f. 1973),,3143
50858081,,Rasmus Klump og tudeprinsen,Per Sanderhage,,3144
53291996,9788711724491.0,Falkejagt,Inger Gammelgaard Madsen,9788799794430,3145
